star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
5.64219602e+02,5.39999964,-5.48581198e-10,3.01352286,3.58987671,1.84968516,-1.34509847,1.21457618e-04,5.79674086,-3.80893938,-1,-1.0
5.89566123e+02,5.39999963,-5.42260348e-10,3.01563623,3.59151764,1.84745998,-1.34509847,1.36868885e-04,5.79873851,-3.80292071,-1,-0.9999724822920044
6.16021134e+02,5.39999962,-5.40478203e-10,3.01395669,3.59218540,1.84528469,-1.34509847,1.42347556e-04,5.80080332,-3.79669950,-1,-0.9999437611405803
6.43685457e+02,5.39999960,-5.35822386e-10,3.01080085,3.59249864,1.84308030,-1.34509847,1.43098814e-04,5.80293763,-3.79026730,-1,-0.9999137270872991
6.72626503e+02,5.39999959,-5.29234883e-10,3.00750473,3.59281256,1.84080440,-1.34509847,1.43364565e-04,5.80514125,-3.78362455,-1,-0.9998823069467239
7.02854014e+02,5.39999957,-5.22623733e-10,3.00410216,3.59313486,1.83845852,-1.34509847,1.43657814e-04,5.80741280,-3.77677557,-1,-0.9998494901423534
7.34424619e+02,5.39999955,-5.15720453e-10,3.00058910,3.59346524,1.83604122,-1.34509847,1.43903844e-04,5.80975341,-3.76971692,-1,-0.9998152151943385
7.67400315e+02,5.39999954,-5.08607668e-10,2.99695248,3.59380112,1.83355115,-1.34509847,1.44115273e-04,5.81216437,-3.76244514,-1,-0.9997794147950064
8.01847557e+02,5.39999952,-5.01319243e-10,2.99327172,3.59416356,1.83098590,-1.34509847,1.44351327e-04,5.81464793,-3.75495346,-1,-0.9997420167968114
8.37832106e+02,5.39999950,-4.93977355e-10,2.98959411,3.59456538,1.82834345,-1.34509847,1.44676886e-04,5.81720579,-3.74723615,-1,-0.9997029498056558
8.75412563e+02,5.39999948,-4.86647590e-10,2.98573042,3.59495889,1.82562458,-1.34509847,1.44991779e-04,5.81983816,-3.73929360,-1,-0.9996621502007687
9.14650468e+02,5.39999947,-4.79103970e-10,2.98164763,3.59533565,1.82282968,-1.34509847,1.45205348e-04,5.82254494,-3.73112489,-1,-0.9996195511706237
9.55610225e+02,5.39999945,-4.71353200e-10,2.97743628,3.59571879,1.81995771,-1.34509847,1.45374048e-04,5.82532655,-3.72273063,-1,-0.9995750827943644
9.98443420e+02,5.39999943,-4.63508596e-10,2.97313923,3.59612133,1.81700411,-1.34509847,1.45560169e-04,5.82818745,-3.71409510,-1,-0.9995285805011097
1.04330050e+03,5.39999941,-4.55656182e-10,2.96886699,3.59657342,1.81396380,-1.34509847,1.45860045e-04,5.83113206,-3.70520771,-1,-0.9994798809565462
1.09009547e+03,5.39999938,-4.47822615e-10,2.96433380,3.59699903,1.81084599,-1.34509847,1.46097841e-04,5.83415248,-3.69609255,-1,-0.9994290775220187
1.13889691e+03,5.39999936,-4.39793641e-10,2.95974436,3.59745015,1.80764903,-1.34509847,1.46325191e-04,5.83724988,-3.68674305,-1,-0.999376095742954
1.18979831e+03,5.39999934,-4.31798854e-10,2.95500386,3.59790318,1.80437272,-1.34509847,1.46558102e-04,5.84042478,-3.67715800,-1,-0.9993208341209837
1.24321011e+03,5.39999932,-4.23668247e-10,2.95009924,3.59836070,1.80100537,-1.34509847,1.46742657e-04,5.84368867,-3.66730551,-1,-0.9992628470577526
1.29884056e+03,5.39999930,-4.15486814e-10,2.94503438,3.59881654,1.79756126,-1.34509847,1.46889735e-04,5.84702763,-3.65722624,-1,-0.9992024512946117
1.35689681e+03,5.39999927,-4.07253502e-10,2.94018865,3.59936979,1.79403190,-1.34509847,1.47222587e-04,5.85044882,-3.64689867,-1,-0.9991394219370595
1.41770246e+03,5.39999925,-3.99256886e-10,2.93489484,3.59985454,1.79041549,-1.34509847,1.47461321e-04,5.85395587,-3.63631027,-1,-0.9990734076654686
1.48095046e+03,5.39999922,-3.90968573e-10,2.92948042,3.60034701,1.78672334,-1.34509847,1.47587591e-04,5.85753769,-3.62549891,-1,-0.9990047418317906
1.54730196e+03,5.39999920,-3.82667899e-10,2.92400494,3.60087060,1.78293842,-1.34509847,1.47745626e-04,5.86120959,-3.61441666,-1,-0.998932706651812
1.61630353e+03,5.39999917,-3.74469767e-10,2.91848226,3.60142085,1.77907658,-1.34509847,1.47972998e-04,5.86495638,-3.60310713,-1,-0.9988577943964183
1.68865982e+03,5.39999914,-3.66229730e-10,2.91277118,3.60196971,1.77512332,-1.34509847,1.48140818e-04,5.86879252,-3.59152597,-1,-0.998779240055179
